"","Trade.Name","City","Reviews","Number_of_Reviews"
"13826","LEX GOURMET","NEW YORK",4.4,14
"13827","MOCHA DELI GROCERY","NEW YORK",5,NA
"13828","SPICES AND TEASE","NEW YORK",3.7,32
"13829","NAPOLIS ITALIAN BAKERY","UTICA",4.7,106
"13830","BIEN CUIT GRAND CENTRAL","NEW YORK",4.1,19
"13831","SONS FREEDOM MARKET","NEW YORK",4,12
"13832","DEVEAUX MINI MART","NIAGARA FALLS",4,6
"13833","SAVE A LOT 24718","UTICA",0,0
"13834","FU XING GROCERY","NEW YORK",4.1,7
"13835","HEALTH NUTS THE","NEW YORK",0,0
"13836","L&O GROCERY","NEW YORK",3.7,3
"13837","39 GOURMET DELI&CONV","NEW YORK",3.5,13
"13838","JUBBA INTERNATIONAL GRY","SYRACUSE",5,7
"13839","NEW YORK HELLO MART","NEW YORK",3.9,849
"13840","ONE WAY DELI","NEW YORK",3.4,22
"13841","C TOWN","NEW YORK",0,0
"13842","NI CHONG GROCERY STORE","NEW YORK",0,0
"13843","UNIVERSAL MEAT MARKET","NEW YORK",4,5
"13844","DELUXE CANDY STORE","NEW YORK",4.7,NA
"13845","SMOKE GIFT & CONVENIENC","NEW YORK",4.7,7
"13846","BAGEL PLUS","NEW YORK",0,0
"13847","PRIME ESSENTIALS","NEW YORK",3.6,15
"13848","HONG YIK FOOD MARKET","NEW YORK",0,0
"13849","VARSANOS CHOCOLATES","NEW YORK",4.7,51
"13850","TASHA DELI","NEW YORK",2.4,23
"13851","FENG SHUN","NEW YORK",0,0
"13852","WESTSIDE SUPERMARKET","NEW YORK",0,0
"13853","JUICE PRESS EQ8","NEW YORK",0,0
"13854","NEW KING DELI GROCERY","NEW YORK",4.1,31
"13855","WHOLE FOOD MARKET 10162","NEW YORK",0,0
"13856","MINI ES WHOLESOME FOOD","NEW YORK",4.3,6
"13857","NEW HARLEM HALAL MEAT","NEW YORK",4,20
"13858","KEY FOOD FRESH MARKET","NEW YORK",0,0
"13859","LOS AMIGOS FOOD","NEW YORK",0,0
"13860","GREAT FOOD GOURMET DELI","NEW YORK",0,0
"13861","DOLLAR GENERAL 8493","NEW HARTFORD",4.2,76
"13862","NEW 45 FARM","NEW YORK",0,0
"13863","JUICE PRESS  EQ13","NEW YORK",0,0
"13864","GODIVA CHOCOLATIER  163","NEW YORK",0,0
"13865","ZALATANOS MINI MART","UTICA",0,0
"13866","D'AGOSTINO SUPERMARKET","NEW YORK",0,0
"13867","BEDFORD CHEESE SHOP","NEW YORK",0,0
"13868","USA DELI GROCERY STORE","NEW YORK",0,0
"13869","NATURAL GREEN MARKET 2","NEW YORK",3.7,20
"13870","LINDO DESPERTAR GROCERY","NEW YORK",0,0
"13871","JENNY SUSHI","NEW YORK",4.4,241
"13872","VILLAGE MAGAZINE CIGAR","NEW YORK",0,0
"13873","SUPER FI EMPORIUM","NEW YORK",4.3,323
"13874","ZEYTUNA","NEW YORK",3.8,450
"13875","LEXINGTON FISH&FOOD MKT","NEW YORK",0,0
"13876","SUPER VALUE MEAT MARKET","NEW YORK",4.4,5
"13877","MEXICAN BAKERY","NEW YORK",0,0
"13878","WEST END SUPER","NEW YORK",4,49
"13879","PERRY&11TH STREET","NEW YORK",4.5,421
"13880","JUICE PRESS 15","NEW YORK",0,0
"13881","SUSHI NARA EXPRESS","NEW YORK",4.3,307
"13882","TRADER JOES #545","NEW YORK",0,0
"13883","JUICE PRESS EQ9","NEW YORK",0,0
"13884","SUN HING LUNG","NEW YORK",0,0
"13885","CVS PHARMACY 02717","NEW YORK",0,0
"13886","NEWCOMBS EASTVIEW","VICTOR",0,0
"13887","JUST DELICIOUS","NEW YORK",3.5,8
"13888","C TOWN","NEW YORK",0,0
"13889","SHERMAN GOURMET DELI","NEW YORK",0,0
"13890","EL AGAVE DELI GROCERY","NEW YORK",4.1,9
"13891","PACIFIC SEAFOOD TRADING","NEW YORK",0,0
"13892","WILSONS LAKESIDE MARKET","WILSON",4.3,103
"13893","ESTHER DELI & GROCERY C","NEW YORK",0,0
"13894","CVS PHARMACY #2434","NEW YORK",3.5,38
"13895","A PLUS #40428H","LIVERPOOL",0,0
"13896","ALLEVA DAIRY","NEW YORK",4.4,148
"13897","SAEED DELI GROCERY","NEW YORK",0,0
"13898","TONYS MARKET","NEW YORK",4.7,26
"13899","JUICE PRESS 23","NEW YORK",0,0
"13900","M & W 1 GOURMET DELI","NEW YORK",4.3,53
"13901","GODIVA CHOCOLATIER 221","NEW YORK",0,0
"13902","A.L. BROADWAY GROCERY","NEW YORK",0,0
"13903","MCNULTYS TEA&COFFEE","NEW YORK",4.8,293
"13904","DAGOSTINO 1","NEW YORK",0,0
"13905","GRISTEDES 517","ROOSEVELT ISLAND",0,0
"13906","UNION MARKET SUSHI ROSA","NEW YORK",0,0
"13907","JUICE PRESS EQ22","NEW YORK",0,0
"13908","FOOD TOWN","NEW YORK",0,0
"13909","F&J GOURMET DELI","NEW YORK",4.2,6
"13910","NICE N EASY GROCERY SHO","SYLVAN BEACH",4.5,6
"13911","LIBERATO FOOD MARKET","NEW YORK",4.3,59
"13912","VILLAGE CRAFT BEER & SM","NEW YORK",4.8,261
"13913","MELISSAS GOURMET DELI","NEW YORK",3.4,40
"13914","KATAGIRI","NEW YORK",0,0
"13915","SIMPLY SUSHI","NEW YORK",0,0
"13916","RIZQ DELI","NEW YORK",0,0
"13917","COUNTRY STORE THE","CAMDEN",4,25
"13918","IDEAL MARKETPLACE","NEW YORK",4,430
"13919","LAZARO GROCERY STORE","NEW YORK",5,3
"13920","JUICE PRESS STORE 33","NEW YORK",2.6,12
"13921","RANCH DELI","NEW YORK",4,61
"13922","CLIFFS LOCAL MARKET","NEW HARTFORD",0,0
"13923","CUSE MARKET","SYRACUSE",4,20
"13924","MICKEL FARM","CAMDEN",5,14
"13925","SHINOLA DELI GROCERY","NEW YORK",0,0
"13926","PIER MARKET PLACE","NEW YORK",4.8,128
"13927","MADE BY PAULINE","NEW YORK",4.7,48
"13928","NYC GREEN VALLEY GROCER","NEW YORK",0,0
"13929","MORTON WILLIAMS SPRMKTS","NEW YORK",0,0
"13930","FOOD EMPORIUM","NEW YORK",0,0
"13931","APOLLO DELI & FRUIT","NEW YORK",4,25
"13932","J & M FOOD DELI","NEW YORK",4,37
"13933","LA ESQUINA DELI GROCERY","NEW YORK",4.2,NA
"13934","LUCKY HESTER CORNER GRO","NEW YORK",0,0
"13935","HARLEM SHAMBLES","NEW YORK",4.6,85
"13936","CVS PHARMACY 02058","NEW YORK",3.8,32
"13937","ORENS DAILY ROAST","NEW YORK",0,0
"13938","C TOWN","NEW YORK",0,0
"13939","CJP SUPERMARKET","NEW YORK",0,0
"13940","KEVINS GROCERY STORE","NEW YORK",0,0
"13941","THE BROTHERS GOURMET DE","NEW YORK",4.2,79
"13942","ELEGANZA GOURMET","NEW YORK",4.5,34
"13943","TEUSCHER CHOCOLATES","NEW YORK",0,0
"13944","NYC GOURMET DELI","NEW YORK",0,0
"13945","LENOX 551 DELI GROCERY","NEW YORK",3,NA
"13946","ORGANIC PARADISE HEALTH","NEW YORK",4.8,8
"13947","BUTTERFIELD MARKET","NEW YORK",4.3,106
"13948","ESSEX OLIVE&SPICE HOUSE","NEW YORK",4,7
"13949","MALAYSIA BEEF JERKY","NEW YORK",4.5,86
"13950","SOCUERBIT-SWEET&SWEDISH","NEW YORK",4.5,184
"13951","TOMPKINS FINEST","NEW YORK",4.2,36
"13952","BROAD STREET CASH & CAR","UTICA",4.3,40
"13953","FAT WITCH BAKERY","NEW YORK",4.3,189
"13954","NY CHUNG CHOU CITY","NEW YORK",0,0
"13955","TSM GROCERY CANDY","NEW YORK",0,0
"13956","PRESSED JUICERY","NEW YORK",0,0
"13957","J&J KI INC@DAGOSTINO","NEW YORK",0,0
"13958","EL PATIO DELI","NEW YORK",0,0
"13959","URBAN MARKET","NEW YORK",4.1,205
"13960","NAGI DELI","NEW YORK",0,0
"13961","FOOD EMPORIUM THE","NEW YORK",0,0
"13962","ONE HEMP HOLISITICS","NIAGARA FALLS",5,10
"13963","ST NICKS 1633 FOOD CTR","NEW YORK",4.1,706
"13964","ROSANJIN","NEW YORK",0,0
"13965","NUT BOX THE","NEW YORK",3.9,15
"13966","LEXINGTON DELI","NEW YORK",3.7,39
"13967","ICONIC M","NEW YORK",0,0
"13968","ASSOCIATED","NEW YORK",0,0
"13969","NEW HENG YUN CHICKEN MA","NEW YORK",4,NA
"13970","SOHO DELI GROCERY","NEW YORK",3.1,15
"13971","MAY WAH VEGETARIAN MKT","NEW YORK",4.5,171
"13972","ESPERANZA & AURORA GROC","NEW YORK",4.2,17
"13973","DOLLAR GENERAL 6717","NIAGARA FALLS",0,0
"13974","MINI DELI","NEW YORK",4.7,50
"13975","HABIBI DELI","UTICA",0,0
"13976","KELLY MEATS","TABERG",5,24
"13977","LA FAMILIA MINI GROCERY","NEW YORK",0,0
"13978","JAMES MARKET","NEW YORK",4.7,3
"13979","MORTON WILLIAMS SUPERMA","NEW YORK",0,0
"13980","DOLLAR TREE 542","LOCKPORT",4.3,67
"13981","JUICE PRESS 9","NEW YORK",0,0
"13982","SUNOCO #40198H","SYRACUSE",0,0
"13983","GRISTEDES 533","NEW YORK",3.6,102
"13984","HUDSON MARKET PLACE","NEW YORK",4.1,45
"13985","MI VIEJA DELI GROCERY","NEW YORK",0,0
"13986","KING LEX GOURMET DELI","NEW YORK",3.2,9
"13987","RED PEPPER","NEW YORK",0,0
"13988","ONE PLUS ONE TWO","NEW YORK",0,0
"13989","RAYS SUPER DELI","NEW YORK",3.5,52
"13990","HEALTHY ORGANIC FOODS &","NEW YORK",0,0
"13991","KIMS FRUIT&VEGETABLE 4","NEW YORK",3.7,12
"13992","MARSHS GENERAL STORE","NIAGARA FALLS",4.9,10
"13993","GRISTEDES 512","NEW YORK",3.3,163
"13994","INWOOD PARK GROCERY","NEW YORK",0,0
"13995","SANTIAGO FOOD CENTER","NEW YORK",0,0
"13996","DOLLAR GENERAL #6714","SYLVAN BEACH",4.2,223
"13997","FISCHER BROS&LESLIE","NEW YORK",3.1,15
"13998","ALANS FARMLAND","NEW YORK",3.9,46
"13999","7TH AVE ARISTOCRATIC DL","NEW YORK",4.3,12
"14000","GOURMET REVOLUTION","NEW YORK",0,0
"14001","JOSE DELI GROCERY","NEW YORK",3.8,12
"14002","7 ELEVEN STORE #35621A","NEW YORK",0,0
"14003","SAMIS NEWSTAND","NEW YORK",0,0
"14004","RITE AID PHARMACY 04185","NEW YORK",0,0
"14005","PRICE CHOPPER 174","SYRACUSE",0,0
"14006","SAMADS GOURMET","NEW YORK",4.7,15
"14007","207 TROPICAL SUPERMARKE","NEW YORK",0,0
"14008","KY FRUIT&VEGETABLE","NEW YORK",2.4,7
"14009","BLEECKER FINEST","NEW YORK",3.6,37
"14010","SANOLA DELI GROCERY","NEW YORK",3,NA
"14011","MAGD DELI","NEW YORK",3.5,4
"14012","HOUSE OF HEALTH","NEW YORK",4.8,12
"14013","MALAYSIA BEEF JERKY","NEW YORK",4.5,86
"14014","SPRING ICONIC SWEET SHO","NEW YORK",4.2,5
"14015","JUICE PRESS 29","NEW YORK",0,0
"14016","OTTOMANELLI BROTHERS","NEW YORK",4.7,31
"14017","J & F GOURMET DELI","NEW YORK",3.5,17
"14018","LAI LAI MINI MART & DIS","NEW YORK",4.5,46
"14019","#1 FARMERS MARKET","NEW YORK",4,4
"14020","SMILERS DELI","NEW YORK",0,0
"14021","LIFETHYME NATURAL MARKE","NEW YORK",4.3,180
"14022","GRISTEDES 82","NEW YORK",3.4,45
"14023","NEW FISH TREE","NEW YORK",3.6,13
"14024","STATION 800","NEW YORK",0,0
"14025","PRESSED JUICERY","NEW YORK",0,0
"14026","LONDON GROCERY","NEW YORK",4.6,13
"14027","KEY FOOD SUPERMARKET","NEW YORK",0,0
"14028","KINNEY DRUGS 61","CICERO",0,0
"14029","MANI MARKET PLACE","NEW YORK",4.3,50
"14030","SUNAC NATURAL","NEW YORK",4.4,775
"14031","ACE DELI","NEW YORK",0,0
"14032","RJ GROCERY","UTICA",4.6,11
"14033","UPPER WEST CANDY GROCER","NEW YORK",0,0
"14034","JUICE PRESS #35","NEW YORK",0,0
"14035","NEW DAY GROCERY","NEW YORK",4.7,225
"14036","RUSS&DAUGHTERS","NEW YORK",0,0
"14037","PRINCE DELI","NEW YORK",3.5,53
"14038","TENBAKU","NEW YORK",0,0
"14039","CVS PHARMACY #10583","NEW YORK",0,0
"14040","WESTCOTT GROCERY","SYRACUSE",3.3,45
"14041","O OTTOMANELLI & SON PRI","NEW YORK",2.5,226
"14042","NY STRAWBERRY DELI","NEW YORK",3.4,7
"14043","ADJA KHADY FOOD DISTRIB","NEW YORK",4.6,44
"14044","SARH DELI GROCERY","NEW YORK",4.7,9
"14045","FULL CITY ROASTER","SANBORN",0,0
"14046","CHERRY VALLEY","NEW YORK",0,0
"14047","CIBAO FOOD CENTER","NEW YORK",3.6,5
"14048","JUICE PRESS 11","NEW YORK",0,0
"14049","MEGA DOLLAR","NEW YORK",5,NA
"14050","NATURAL FOOD DELI","NEW YORK",4.7,3
"14051","SALAM DELI GROCERY","NEW YORK",5,NA
"14052","GRISTEDES #611","NEW YORK",3.4,112
"14053","ME QUICK STOP GRCY&CNDY","NEW YORK",0,0
"14054","COMPARE FOODS","NEW YORK",0,0
"14055","LIZZIE FRUITS DELI & GR","NEW YORK",0,0
"14056","MORTON WILLIAMS","NEW YORK",0,0
"14057","NEW YORK MART","NEW YORK",0,0
"14058","ZINGONE BROS","NEW YORK",4.8,33
"14059","QMART","NEW YORK",3.9,89
"14060","RITE AID PHARMACY 03110","NEW YORK",0,0
"14061","THOMPSON DELI","NEW YORK",4.3,93
"14062","WHOLE FOODS MKT 10245","NEW YORK",0,0
"14063","JUICE PRESS 31","NEW YORK",0,0
"14064","J&F MEAT MARKET","NEW YORK",3,5
"14065","RUSSOS","NEW YORK",0,0
"14066","CHOCOLAT MODERNE","NEW YORK",4.9,76
"14067","ANDYS 418 CLMBS AVE DEL","NEW YORK",4.1,75
"14068","KANAN DELI & GRILL","NEW YORK",0,0
"14069","TLC TEA HOUSE","NEW YORK",4.6,104
"14070","ANS SEAFOOD @ FOOD EMPO","NEW YORK",4,929
"14071","WESTERN BEEF 44","NEW YORK",3.6,450
"14072","JOES GOURMET DELI","NEW YORK",0,0
"14073","PINOS PRIME MEAT MARKET","NEW YORK",4.8,38
"14074","H MART","NEW YORK",0,0
"14075","MR MOES DELI","NEW YORK",4.4,183
"14076","HELLS KITCHEN DELI FOOD","NEW YORK",0,0
"14077","DOMINGOS GROCERY","NEW YORK",0,0
"14078","NATY FOOD","NEW YORK",4.2,9
"14079","FRESH FOOD","NEW YORK",0,0
"14080","A'S COFFEE SPOT & GROCE","NEW YORK",5,10
"14081","DOLLAR TREE #3575","NIAGARA FALLS",3.9,206
"14082","GRISTEDES 562","NEW YORK",3.1,81
"14083","THE MEXICAN CULTURE DEL","NEW YORK",3.7,78
"14084","ACAPULCO DELI GROCERY &","NEW YORK",4.1,31
"14085","BROOKLYN RAMEN","NEW YORK",0,0
"14086","NATURAL CHOICE DELI","NEW YORK",4.3,45
"14087","MARIA GOURMET DELI","NEW YORK",3.8,8
"14088","HEALTHY MARKET PLACE","NEW YORK",0,0
"14089","PARK 81 DELI & GROCERY","NEW YORK",5,NA
"14090","MID ATLANTIC","NEW YORK",0,0
"14091","BABETH'S FEAST","NEW YORK",4.6,21
"14092","KIKKA@WHOLE FOODS MIDTO","NEW YORK",0,0
"14093","JNJ ROLL @ DAGOSTINO SU","NEW YORK",0,0
"14094","RAHAF MARKET","SYRACUSE",0,0
"14095","DOLLAR MART","NEW YORK",0,0
"14096","PARKS GARDEN PLACE","NEW YORK",0,0
"14097","7 ELEVEN STORE 33633B","NEW YORK",0,0
"14098","MODUWA 84","NEW YORK",4.4,18
"14099","FARM COUNTRY","NEW YORK",0,0
"14100","SUSHI NARA EXPRESS","NEW YORK",4.3,307
"14101","IN & OUT DELI GROCERY","NEW YORK",5,2
"14102","THE JUICE PRESS EQ1","NEW YORK",3.9,20
"14103","CVS/PHARMACY #10112","NEW YORK",0,0
"14104","MADISON DELI","NEW YORK",0,0
"14105","PANIAGUA DELI GROCERY","NEW YORK",0,0
"14106","BROTHERS MINI GROCERY","NEW YORK",0,0
"14107","NY2 FOOD MARKET","NEW YORK",4.1,15
"14108","WAL-MART SUPER CTR 1677","NEW HARTFORD",3.8,NA
"14109","GETTY MART","NIAGARA FALLS",0,0
"14110","KATAGIRI & CO","NEW YORK",4.5,299
"14111","YANKEE DELI","NEW YORK",4.3,30
"14112","MINI STAR","NEW YORK",4.2,240
"14113","RALPH & NASH DELI","NEW YORK",4.6,22
"14114","TARGET STORE T-3249","NEW YORK",4.1,336
"14115","STEVEN STILE FRMRS MRKT","NEW YORK",0,0
"14116","MIDTOWN FISH AND MEAT M","NEW YORK",0,0
"14117","GRISTEDES 413","NEW YORK",3.6,78
"14118","COLUMBIA GOURMET DELI","NEW YORK",3.7,48
"14119","M&M MARKET DELICATESSEN","NEW YORK",3.5,26
"14120","901 COLUMBUS DELI","NEW YORK",0,0
"14121","DUANE READE 14168","NEW YORK",3.4,9
"14122","SEA&SEA FISH MARKET","NEW YORK",0,0
"14123","LUNA DELI","NEW YORK",4,13
"14124","NORWEGIAN PROTEIN MAGIC","NEW YORK",0,0
"14125","MILK AND HOPS","NEW YORK",0,0
"14126","JUICE PRESS 1","NEW YORK",0,0
"14127","HENRIQUEZ GROCERY STORE","NEW YORK",4.9,7
"14128","ASSOCIATED SUPERMARKET","NEW YORK",0,0
"14129","LENOX FISH MARKET","NEW YORK",4.1,254
"14130","BROOKLYN RAMEN (KATAGI)","NEW YORK",4.7,270
"14131","BROOKLYN ROYAL SUSHI","NEW YORK",4.6,425
"14132","FASTRAC MARKET 248","UTICA",2.8,4
"14133","BERNARDIS RAPID MART","LOCKPORT",5,3
"14134","JUICE PRESS 14","NEW YORK",2.6,8
"14135","TAFT DELI","NEW YORK",4.3,3
"14136","FOOD EMPORIUM # 1956","NEW YORK",4,605
"14137","NY CAKE&BAKING DISTRBTR","NEW YORK",0,0
"14138","POOKA NEWS","NEW YORK",0,0
"14139","FRESH FOOD CORNER","NEW YORK",3.5,14
"14140","KSY MINI MARKET","NEW YORK",5,NA
"14141","MRS THANK YOU","LEWISTON",5,9
"14142","PALOMA DELICATESSEN","NEW YORK",0,0
"14143","MARTINS NEWS SHOPS","NEW YORK",0,0
"14144","GRISTEDES 40","NEW YORK",3.6,102
"14145","SPRING FOOD MART","NEW YORK",0,0
"14146","DUANE READE 14436","NEW YORK",3.8,30
"14147","SHAMS GROCERY","NEW YORK",4.5,4
"14148","DUANE READE #14496","NEW YORK",0,0
"14149","GREEN PARK DELI","NEW YORK",0,0
"14150","TRADER JOES #543","NEW YORK",0,0
"14151","HUDSON & CHARLES","NEW YORK",0,0
"14152","D STOP DELI & GROCERY","NEW YORK",1,NA
"14153","TARGET STORE T3277","NEW YORK",3.8,482
"14154","NYC BEST GROCERY","NEW YORK",0,0
"14155","FOOD EMPORIUM THE","NEW YORK",0,0
"14156","ESSEN","NEW YORK",0,0
"14157","DIPALO FINE FOODS","NEW YORK",4.7,375
"14158","TARGET 1492","NEW HARTFORD",4.2,134
"14159","7 ELEVEN STORE #36678A","NEW YORK",0,0
"14160","LA MAISON DU CHOCOLAT","NEW YORK",0,0
"14161","STEVEN STILE FRMRS MRKT","NEW YORK",0,0
"14162","JING RI","NEW YORK",0,0
"14163","ALS FOOD MARKET & GROCE","SYRACUSE",0,0
"14164","OCEAN DELI","NEW YORK",4.2,16
"14165","PAK PUNJAB","NEW YORK",4.3,96
"14166","B&B CIGAR STORE","NIAGARA FALLS",3.7,6
"14167","MEXICO TRAVEL","NEW YORK",4.2,13
"14168","AFC SUSHI@WALGREENS #61","NEW YORK",0,0
"14169","SMILE DELI","NEW YORK",3.4,8
"14170","SCALISES DELI","NORTH TONAWANDA",4.5,35
"14171","TRADER JOES #539","NEW YORK",0,0
"14172","PERRY&11TH STREET","NEW YORK",4.5,421
"14173","SANTIAGO 2 ORGANIC FOOD","NEW YORK",5,8
"14174","NAGLE 99 CENTS","NEW YORK",0,0
"14175","GURUS DELI & GROCERY","NEW YORK",4,7
"14176","MEXICAN DELI","NEW YORK",4.2,67
"14177","SANBORN FAMILY MART","SANBORN",0,0
"14178","PO WING HONG FOOD MRKT","NEW YORK",4.2,132
"14179","RAYS SUPER DELI","NEW YORK",3.5,52
"14180","NEW GREEN EMPORIUM","NEW YORK",3.8,15
"14181","RITE AID PHARMACY 02727","NEW YORK",0,0
"14182","EL PUEBLO MEXICANO GRCY","NEW YORK",5,7
"14183","FROSCHAUER GREENHOUSES","ROME",4.7,39
"14184","SUGAR HILL CANDY","NEW YORK",0,0
"14185","MDK GROCERY","NEW YORK",0,0
"14186","RITE AID PHARMACY 04887","NEW YORK",0,0
"14187","PORTO RICO IMPORTING CO","NEW YORK",4.7,175
"14188","VILLA TRINA MEAT MARKET","NEW YORK",0,0
"14189","LA BODEGA 193","NEW YORK",4.9,44
"14190","KALUSTYANS","NEW YORK",4.7,758
"14191","TARGET STORE T-3284","NEW YORK",3.5,239
"14192","HEAVENLY MARKET & CAFE","NEW YORK",3.5,51
"14193","74 NAGLE DELI GROCERY","NEW YORK",5,NA
"14194","NICE & EASY SHOP","UTICA",0,0
"14195","NATURAL HEALTH FOOD MAR","NEW YORK",0,0
"14196","KAY MARKET","NEW YORK",0,0
"14197","HUDSON & CHARLES","NEW YORK",0,0
"14198","FLYING TIGER COPENHAGEN","NEW YORK",0,0
"14199","JOES GOURMET HEALTH DEL","NEW YORK",0,0
"14200","FAIRWAY","NEW YORK",0,0
"14201","CVS PHARMACY 02737","NEW YORK",2.9,67
"14202","HM GAS","SYRACUSE",0,0
"14203","PRESSED JUICERY","NEW YORK",0,0
"14204","RAYS SUPER DELI","NEW YORK",3.5,52
"14205","VALENCIA BAKERY","NEW YORK",0,0
"14206","MANUELS GROCERY","NEW YORK",5,NA
"14207","FRESH SUSHI (GRISTEDES)","NEW YORK",2.9,211
"14208","SUN HING LUNG","NEW YORK",0,0
"14209","FLORENCE PRIME MEAT MKT","NEW YORK",4.8,24
"14210","PUCHITO GROCERY","NEW YORK",5,NA
"14211","MRG NYC","NEW YORK",0,0
"14212","JUNGS DRIED BEEF","NEW YORK",4.5,34
"14213","MANHATTANVILLE DELI","NEW YORK",4.5,4
"14214","STRAWBERRY 2","NEW YORK",4.6,NA
"14215","MARIEN DELI GROCERY","NEW YORK",0,0
"14216","SHERMAN DELI","NEW YORK",0,0
"14217","MEADOW THE","NEW YORK",4.7,97
"14218","LEX34 FRUIT&VEGETABLE","NEW YORK",0,0
"14219","URBAN TASTE","NEW YORK",0,0
"14220","KING TOWER DELI","NEW YORK",0,0
"14221","LUNA GROCERY","NEW YORK",4.4,48
"14222","APPLE HILL","LAFAYETTE",4.6,473
"14223","PRESSED JUICERY","NEW YORK",0,0
"14224","LUNA BROTHERS FRUIT PLA","NEW YORK",4.5,2
"14225","236 COLUMBUS FARM","NEW YORK",3.1,19
"14226","BABA CONVENIENCE STORE","NEW YORK",4.2,6
"14227","JCK-FOOD","NEW YORK",0,0
"14228","ICONIC CAFE","NEW YORK",0,0
"14229","GOURMET GARAGE","NEW YORK",0,0
"14230","NUEVA GENERACION GRCY","NEW YORK",0,0
"14231","7-ELEVEN STORE 34764A","NEW YORK",0,0
"14232","LINCOLN PLAZA NEWSSTAND","NEW YORK",0,0
"14233","PARK TERRACE DELI","NEW YORK",4.3,188
"14234","THE HEIGHTS MARKET","NEW YORK",4.2,9
"14235","K L SEAFOOD MARKET","NEW YORK",0,0
"14236","DELITERIA","NEW YORK",3.4,20
"14237","KNK SUSHI INC @ DAGOSTI","NEW YORK",0,0
"14238","MY DELI GROCERY","NEW YORK",5,3
"14239","APOLLO DELI & FRUIT","NEW YORK",4,25
"14240","NEW GREEN EMPORIUM","NEW YORK",3.8,15
"14241","LOBELS","NEW YORK",4.3,42
"14242","TERRACE GROCERY","NEW YORK",5,3
"14243","KINNEY DRUGS 03","CAMDEN",0,0
"14244","ROASTERY AND RESERVE TA","NEW YORK",4.6,NA
"14245","TWO LITTLE RED HENS","NEW YORK",4.6,638
"14246","FLEISHERS CRAFT BUTCHER","NEW YORK",0,0
"14247","JOWNY MARKET","NEW YORK",4.3,6
"14248","GODIVA CHOCOLATIER","NIAGARA FALLS",4.3,100
"14249","NICE N EASY GROCERY SHO","WESTMORELAND",4.1,8
"14250","WALGREENS 4968","LOCKPORT",0,0
"14251","CLN MERCANTILE","FABIUS",5,4
"14252","COOKING WITH COREY","NEW YORK",0,0
"14253","LITTLE MEXICO MEAT GRCY","NEW YORK",4.8,8
"14254","CO-OP GAS","ORISKANY FALLS",4.8,5
"14255","EAST 110 CANDY GROCERY","NEW YORK",3.9,385
"14256","SUPREME CHICKEN MARKET","NEW YORK",0,0
"14257","7-ELEVEN #35702J","NEW YORK",0,0
"14258","FINE FARE SUPERMARKET","NEW YORK",0,0
"14259","NEW FINEST DELI","NEW YORK",0,0
"14260","PATRICK MURPHYS MARKET","NEW YORK",5,4
"14261","USA CONVENIENCE","SYRACUSE",0,0
"14262","GRISTEDES 508","NEW YORK",0,0
"14263","CO-HEN KITCHEN","NEW YORK",0,0
"14264","PULASKI MEAT MARKET","UTICA",4.7,49
"14265","HEALTH NUTS THE","NEW YORK",0,0
"14266","SHAFIQS SNACK CORNER","NEW YORK",0,0
"14267","7 ELEVEN STORE # 37539A","NEW YORK",0,0
"14268","600 GROCERY & CANDY","NEW YORK",0,0
"14269","MODUWA 84","NEW YORK",4.4,18
"14270","L SIMCHICK MEATS","NEW YORK",4.1,15
"14271","SMALL AND MIGHTY KRUPA","NEW YORK",0,0
"14272","SANO HEALTH FOOD CENTER","NEW YORK",4.6,19
"14273","SUNRISE MART","NEW YORK",0,0
"14274","MUSHEER DELI","NEW YORK",1,NA
"14275","MARTE GROCERY","NEW YORK",4,4
"14276","EMPIRE GOURMET DELI GRO","NEW YORK",4.2,70
"14277","L&L COUNTRY STORE","LOCKPORT",4,62
"14278","SHEEN BROTHERS","NEW YORK",3.6,13
"14279","NO 1 IN & OUT DELI GROC","NEW YORK",5,2
"14280","BEER TABLE TO GO","NEW YORK",4.2,72
"14281","91 CATHERINE GROCERY","NEW YORK",0,0
"14282","CVS PHARMACY 02716","NEW YORK",0,0
"14283","W MINI MART","NEW YORK",5,3
"14284","JENNY FOOD","NEW YORK",4,43
"14285","MILANO MARKET","NEW YORK",4.2,190
"14286","TUDOR FARM MARKET","NEW YORK",3.9,7
"14287","SOS CHEFS OF NEW YORK","NEW YORK",4.9,33
"14288","MONDEL CHOCOLATES","NEW YORK",4.8,28
"14289","RIVERSIDE GOURMET MKT","NEW YORK",3.7,3
"14290","DUANE READE #14401","NEW YORK",0,0
"14291","7 ELEVEN STORE #36979H","NEW YORK",0,0
"14292","WEST SIDE MARKET","NEW YORK",0,0
"14293","FRESH SUSHI USA","NEW YORK",4,NA
"14294","AFC @ WEGMANS #33","CICERO",0,0
"14295","DEAN&DELUCA","NEW YORK",4.3,NA
"14296","COLUMBUS GROCERS","NEW YORK",0,0
"14297","SEA BREEZE FISH MARKET","NEW YORK",4.6,74
"14298","VIZCARRA VINEYARDS AT B","GASPORT",0,0
"14299","ONE STOP","NEW YORK",0,0
"14300","ALL FRESH GROCERY & DEL","NEW YORK",4.7,19
"14301","JACQUES TORRES CHOCOLAT","NEW YORK",0,0
"14302","PERFECT DELI","NEW YORK",4.5,NA
"14303","BEST OF HARLEM DELI","NEW YORK",0,0
"14304","SINGS DELI&GROCERY","NEW YORK",4.3,27
